"","Iteration","Species","AbSpec","Units"
"1",1,-0.00140487392568828,-0.00154389209194235,0.0217679859458165
"2",51,-0.0014727853969811,-0.00153797861839973,0.0350648878353374
"3",101,-0.00167531814924312,-0.00165786883079409,0.0324810007395104
"4",151,-0.000228926340683836,-0.000222277153679446,0.00173389678783267
"5",201,-0.00397448316939838,-0.00431140375381714,0.0226508745268617
"6",251,-0.00264636136891712,-0.00266410600547841,0.0459657396252825
"7",301,-0.00138883064012657,-0.00146632733038212,0.0264293004714387
"8",351,-0.000299508104712239,-0.000316147525217519,0.00470867570988599
"9",401,-0.000148222844537638,-0.000160480484886957,0.00197092328273165
"10",451,-0.0010955367382743,-0.00115586421924149,0.012434610214146
"11",501,-0.000557877364138343,-0.000557590349747868,0.0128591899197368
"12",551,-0.000491546161048441,-0.00047222446441858,0.00566452462401686
"13",601,-0.00123962970374424,-0.00122182945931138,0.0105822304062694
"14",651,-0.000712170383687382,-0.000621659060921795,0.0197521115770827
"15",701,-0.000177185914495757,-0.000169924375633312,0.00417596180122208
"16",751,-6.95720690409951e-05,-6.80525525156346e-05,0.00100088013179163
"17",801,-0.0011979075928108,-0.00116596478774173,0.0351194741935648
"18",851,-0.000383477904685368,-0.000413109873374967,0.00671079850474967
"19",901,-0.00178030776558312,-0.00174675005606863,0.0449982675698107
"20",951,-0.000906842294604463,-0.000870578735548686,0.0133540439850834
"21",1001,-0.00186009042778591,-0.00204253595106552,0.0287569067466109
"22",1051,-0.000614810276388055,-0.000626694106917636,0.021587588049173
"23",1101,-0.000648279191053758,-0.000577053450252056,0.0166282948759286
"24",1151,-0.000351795518051274,-0.000345869589796987,0.00571871242784432
"25",1201,-0.000906187012991244,-0.00100086494184692,0.0314692573955331
"26",1251,-0.000594334207167106,-0.000542988179466042,0.0197526252331596
"27",1301,-0.00135154312165112,-0.00131152204416632,0.0332940060442169
"28",1351,-0.00163291445594633,-0.00164201426285448,0.0330269088587664
"29",1401,-0.000195115438436168,-0.00021485458085881,0.00661402507203713
"30",1451,-0.0020972140853972,-0.00191020428255893,0.0486442526429883
"31",1501,-0.000620239179890347,-0.000626608333273735,0.00950004201422363
"32",1551,-0.00181570615995964,-0.00175860584341174,0.0290380984784557
"33",1601,-0.000316324198008495,-0.000305083282105895,0.00570945423550248
"34",1651,-0.000584751448602266,-0.000579390769448879,0.0155616847483741
"35",1701,-0.000193167048836133,-0.00018204606104057,0.00329645788472863
"36",1751,-0.00111486610584899,-0.00113501694195209,0.0198477280626299
"37",1801,-0.000664338914347151,-0.000648357877694684,0.00992695292115424
"38",1851,-0.00172527036742632,-0.00167563483165261,0.046621660382365
"39",1901,-0.000470409218732143,-0.000511569378020166,0.00660512846688888
"40",1951,-0.000321737453449432,-0.000332798183978005,0.0103110397700697
"41",2001,-0.000465661044463685,-0.000495777259987122,0.00240658140231361
"42",2051,-1.87981312842492e-05,-1.83838554511844e-05,0.000338923263612944
"43",2101,-0.00103384707804027,-0.000899500552492323,0.0320994670228795
"44",2151,-0.000245727920950421,-0.000252979506069456,0.0076966649775496
"45",2201,-0.000474087649053492,-0.000451184285987157,0.0134364449202453
"46",2251,-0.000262754309882942,-0.000261260231530077,0.00369174948814074
"47",2301,-0.00189946338114563,-0.00181764997718249,0.0590217671264603
"48",2351,-0.00403779914207327,-0.00374674808737657,0.0250609096411242
"49",2401,-0.000440063772262471,-0.0005037421874323,0.00542689677761947
"50",2451,-0.00182668814923245,-0.00202859140463059,0.0191472400641609
"51",2501,-0.00271645145657024,-0.00293228715724472,0.0233143788396859
"52",2551,-0.000463223659515109,-0.00050133433377849,0.00291638967182461
"53",2601,-0.00157063027117027,-0.00146288151806051,0.0418708161429577
"54",2651,-0.000266674899819056,-0.000268891485486648,0.0084170728099318
"55",2701,-0.000333947663501499,-0.000327348854828032,0.0026654276243869
"56",2751,-0.00047623007229901,-0.000485546497255245,0.00913774908256833
"57",2801,-0.00035842909118716,-0.000378493557808844,0.00266872539000022
"58",2851,-0.00100731895689461,-0.00115829047981479,0.0180004580459019
"59",2901,-0.00183838680964261,-0.0017776766911355,0.0552212980665845
"60",2951,-0.00114338486270211,-0.00112545586706254,0.037694552917103
"61",3001,-0.00101678824137722,-0.00109022293672339,0.0156688843766581
"62",3051,-0.00148451957137228,-0.00146180416978006,0.045678195029046
"63",3101,-0.000786897120405357,-0.000778719655132322,0.0219076466183364
"64",3151,-0.000713801029729224,-0.000728328766864168,0.0142016938612172
"65",3201,-0.0019711589517233,-0.00212426998359855,0.0395292171125602
"66",3251,-9.15828843329829e-05,-8.60554568591984e-05,0.00169573985252083
"67",3301,-0.000589337716683818,-0.000613815831721669,0.0225749902363129
"68",3351,-0.000648573590690822,-0.000616504216131935,0.0135579686020294
"69",3401,-0.00108765227958978,-0.00103993013710376,0.0176158883735251
"70",3451,-0.00051514140475866,-0.000515070361948981,0.0205917624044532
"71",3501,-0.000634016979578824,-0.000599345395332042,0.017454055799051
"72",3551,-0.000487140822902482,-0.000506401751245807,0.0156249818505326
"73",3601,-0.00030147645829342,-0.000312710794118443,0.00972826775843395
"74",3651,-0.000284629529163747,-0.000301896912192195,0.00622061602781153
"75",3701,-0.00106110756174131,-0.000987582064392789,0.0346671886576276
"76",3751,-0.00259147489415046,-0.00245207831159348,0.028853696849513
"77",3801,-0.00101700218676592,-0.00097768578956064,0.0272349148396875
"78",3851,-0.00064072879632119,-0.000659562292835116,0.0111133621218417
"79",3901,-0.000634379954109677,-0.000606035263021881,0.0186274928725817
"80",3951,-0.000910036587752874,-0.000908303800581956,0.0166935387300796
"81",4001,-0.00154142441931711,-0.00161652035035998,0.0167555754078763
"82",4051,-0.000470241173025242,-0.000466530952884315,0.0110472687402505
"83",4101,-0.000167940291705457,-0.000162521629041854,0.00220459063949022
"84",4151,-0.000456093902997895,-0.000455645608233443,0.016920347541755
"85",4201,-0.000377541566148883,-0.000377926599766626,0.00339419791479349
"86",4251,-0.00106720780917744,-0.00105570645062834,0.0402650377221558
"87",4301,-0.00111712252606574,-0.00120939528332241,0.0174229916810798
